SETOR;SIGLA;CIDADE
01 GERENCIA REGIONAL DE ENSINO;1-GRE;João Pessoa
02 GERNCIA REGIONAL DE ENSINO;2-GRE;Guarabira
03 GERENCIA REGIONAL DE ENSINO;3-GRE;Campina Grande
04 GERENCIA REGIONAL DE ENSINO;4-GRE;Cuité
05 GERENCIA REGIONAL DE ENSINO;5-GRE;Monteiro
06 GERENCIA REGIONAL DE ENSINO;6-GRE;Patos
07 GERENCIA REGIONAL DE ENSINO;7-GRE;Itaporanga
08 GERENCIA REGIONAL DE ENSINO;8-GRE;Catolé do Rocha
09 GERENCIA REGIONAL DE ENSINO;9-GRE;Cajazeiras
10 GERENCIA REGIONAL DE ENSINO;10-GRE;Sousa
11 GERENCIA REGIONAL DE ENSINO;11-GRE;Princesa Isabel
12 GERENCIA REGIONAL DE ENSINO;12-GRE;Itabaiana
13 GERENCIA REGIONAL DE ENSINO;13-GRE;Pombal
14 GERENCIA REGIONAL DE ENSINO;14-GRE;Mamanguape
15 GERENCIA REGIONAL DE ENSINO;15-GRE;Queimadas
16 GERENCIA REGIONAL DE ENSINO;16-GRE;João Pessoa
ARQUITETURA;ARQUITETURA;João Pessoa
Arquivo;ARQV;João Pessoa
ASSESSORA ESPECIAL DE GABINETE;AEG;João Pessoa
ASSESSORIA DE COMUNICACAO;ASCOM;João Pessoa
Assessoria de Controle Interno;ASCIN;João Pessoa
Assessoria de Governança e Gestão de Risco;ASGOV;João Pessoa
Assessoria de Logística e Eventos;ASLOG;João Pessoa
Assessoria Especial de Gabinete;ASESG;João Pessoa
ASSESSORIA ESPECIAL DO SECRETÁRIO;AES;João Pessoa
Assessoria Jurídica;ASJUR;João Pessoa
Assessoria Técnico-Normativa;ASTEC;João Pessoa
ASSESSORIA TECNICO-NORMATIVA;ATN;João Pessoa
ATN - Desativado;DESATIVADO-ATN;Água Branca
Biblioteca Pública Estadual Augusto dos Anjos;BPEAA;João Pessoa
CENTRO ESTADUAL DE ARTE;CEARTE;João Pessoa
CENTRO ESTADUAL DE LÍNGUAS;CELIN;João Pessoa
CHEFIA DE GABINETE;CG;João Pessoa
COMISSAO EXECUTIVA DE ESCOLAS INTEGRAIS;CEEI;João Pessoa
Comissão para criação do Núcleo de Suporte Especializado em Readaptação;SUPERE;João Pessoa
Comissão para Pacificação de Conflitos;COPAC;João Pessoa
COMISSAO PERMANENTE DE APURACAO PARA SANCOES ADMINISTRATIVAS;CPASA;João Pessoa
COMISSAO PERMANENTE DE AVALIACAO DE DOCUMENTOS;CPAD;João Pessoa
Comissão Permanente de Estratégia de Governo Digital;CPEGD;João Pessoa
COMISSAO PERMANENTE DE INQUERITO;CPI;João Pessoa
CONSELHO ESTADUAL DE ALIMENTACAO ESCOLAR;CEAE;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO;CEE;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - ARQUIVO;CEE-ARQUIVO;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - ASSESSORIA ADMINISTRATIVA;CEE-ASS-ADM;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - ASSESSORIA DA PRESIDENCIA;CEE-ASS-PRES;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - ASSESSORIA TECNICA;CEE-AT;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - CAMARA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;CEE-CEIEF;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - CAMARA DE ENSINO MEDIO EDUCACAO PROFISSIONAL E ENSINO SUPERIOR;CEE-CEMES;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - CONSELHEIROS;CEE-CONS;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - PRESIDENCIA;CEE-PRES;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - PROTOCOLO;CEE-PRT;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - REVISAO E FORMULACAO DE PARECERES E RESOLUCOES;CEE-RFPR;João Pessoa
CONSELHO ESTADUAL DE EDUCACAO - SECRETARIA EXECUTIVA;CEE-SEC-EXE;João Pessoa
CONTROLE INTERNO;CI;João Pessoa
COORDENACAO DE BANDAS ESCOLARES;CBE;João Pessoa
COORDENACAO DE MANUTENCAO;INATIVADO-CM;João Pessoa
DESATIVADO - COMISSAO DE PRESTACOES DE CONTAS PARCIAIS;DESATIVADO-CPCP;João Pessoa
DIRETORIA EXECUTIVA DE DESENVOLVIMENTO ESTUDANTIL;DEDE;João Pessoa
DIVISAO DE PROTOCOLO;DIPRO;João Pessoa
DIVISAO DE TRANSPORTES;DITRAN;João Pessoa
ENGENHARIA;ENGENHARIA;João Pessoa
ESCOLA ESTADUAL DE MÚSICA ANTHENOR NAVARRO;EEMAN;João Pessoa
FUNDACAO CENTRO INTEGRADO DE APOIO AO PORTADOR DE DEFICIENCIA;FUNAD;João Pessoa
GABINETE DO SECRETARIO;GS;João Pessoa
GERENCIA ADMINISTRATIVA;GAD;João Pessoa
GERENCIA DE ACOMPANHAMENTO E MANUTENCAO DE OBRAS;GAMOB/COTESE;João Pessoa
Gerência de Administração;GEADM;João Pessoa
